Dependents,tenure,MultipleLines,OnlineSecurity,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn,ChargesPerTenure,TenureGroup,NumAddons,HasStreaming,IsLongTermContract,IsAutoPayment,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,Segment,Segment_Label,Churn_Probability,Churn_Predicted,Risk_Tier,Priority,Rec_Count,Recommendations
0,1,0,0,0,0,1,29.85,0,1.0750910021375255,0,1,0,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk,0.6448584533900175,1,High,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
0,34,0,1,0,0,0,56.95,0,-0.4771591330301165,2,2,0,1,0,1,0,0,0,1,0,0,0,3,Loyal Low-Risk,0.22805914381750383,0,Low,Low,2,Send annual loyalty thank-you reward: gift card or free month | Invite to referral program: reward for bringing new customers
0,2,0,1,0,0,1,53.85,1,1.4281972664354767,0,2,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.5433007129918467,1,High,High,3,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month
0,45,0,1,1,0,0,42.3,0,-0.5597542064428215,2,3,0,1,1,1,0,0,0,1,0,0,0,1,Stable Mid-Risk,0.15877366968154963,0,Low,Medium,1,Send quarterly loyalty reward: bonus data or service credit
0,2,0,0,0,0,1,70.7,1,2.083827079484565,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.7836149389728645,1,Very High,Critical,5,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
0,8,1,0,0,1,1,99.65,1,0.625358781218096,0,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.8401002313158816,1,Very High,Critical,6,Immediate onboarding call — assign dedicated support agent | Offer 20% discount for first 3 months to reduce early churn | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
1,22,1,0,0,1,1,89.1,0,-0.2148951240275027,1,2,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk,0.6003809604250214,1,High,Critical,5,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months
0,10,0,1,0,0,0,29.75,0,-0.3513946350751608,0,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk,0.4188024408478446,0,Medium,High,5,Early engagement: send personalized welcome + value summary email | Offer first add-on service free for 2 months | Promote annual contract: highlight savings vs month-to-month | Recommend OnlineSecurity or TechSupport — show value demo | Upsell opportunity: offer enhanced plan with streaming bundle
0,28,1,0,1,1,1,104.8,1,-0.2452587538765589,2,4,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk,0.6640311379385953,1,High,Critical,6,Personalized retention call — acknowledge loyalty | Offer exclusive loyalty discount: 15% off for 6 months | Offer contract upgrade incentive: 2 free months on annual plan | Fiber service review — offer speed upgrade or bill reduction | Bundle OnlineSecurity + TechSupport at 50% off for 3 months | Enroll in auto-pay for $5/month discount
1,62,0,1,0,0,0,56.15,0,-0.563057107123534,3,2,0,1,1,1,0,0,0,1,0,0,0,1,Stable Mid-Risk,0.1311587105001393,0,Low,Medium,2,Send quarterly loyalty reward: bonus data or service credit | Cross-sell DeviceProtection or StreamingTV at discounted rate
